long,lat,group,csd_code
-80.49175280000001,43.50227100000001,3530016_1,3530016
-80.49265419999999,43.502632999999996,3530016_1,3530016
-80.4934049,43.503825500000005,3530016_1,3530016
-80.49373659999999,43.505251699999995,3530016_1,3530016
-80.49375409999999,43.505285699999995,3530016_1,3530016
-80.494348,43.5064401,3530016_1,3530016
-80.4942402,43.5066989,3530016_1,3530016
-80.4941983,43.506904000000006,3530016_1,3530016
-80.4942953,43.5069844,3530016_1,3530016
-80.4943971,43.5071175,3530016_1,3530016
-80.4946154,43.5074028,3530016_1,3530016
-80.494892,43.5083339,3530016_1,3530016
-80.4951246,43.5092612,3530016_1,3530016
-80.4951263,43.5092827,3530016_1,3530016
-80.4952192,43.5104867,3530016_1,3530016
-80.4949989,43.5115463,3530016_1,3530016
-80.49415739999999,43.5122961,3530016_1,3530016
-79.86057389999999,43.3474048,3525005_2,3525005
-79.8606928,43.3474712,3525005_2,3525005
-79.86230069999999,43.3486312,3525005_2,3525005
-79.8654815,43.3509257,3525005_2,3525005
-79.8670866,43.3520846,3525005_2,3525005
-79.8680734,43.352797100000004,3525005_2,3525005
-79.8762461,43.3586034,3525005_2,3525005
-79.87835249999999,43.3601404,3525005_2,3525005
-79.8793546,43.3608841,3525005_2,3525005
-79.8803698,43.3616061,3525005_2,3525005
-79.8812624,43.3622558,3525005_2,3525005
-79.88327199999999,43.36370290000001,3525005_2,3525005
-79.8833396,43.363757899999996,3525005_2,3525005
-79.8833665,43.363802,3525005_2,3525005
-79.88338619999999,43.3638611,3525005_2,3525005
-79.88339909999999,43.3639152,3525005_2,3525005
-79.886765,43.366123699999996,3525005_2,3525005
-79.88957719999999,43.36806,3525005_2,3525005
-79.89205369999999,43.36982,3525005_2,3525005
-79.9048427,43.378972299999994,3525005_2,3525005
-79.9048698,43.3789875,3525005_2,3525005
-79.90530319999999,43.379298899999995,3525005_2,3525005
-79.9069489,43.3805031,3525005_2,3525005
-79.9070134,43.3805452,3525005_2,3525005
-79.9080611,43.381314499999995,3525005_2,3525005
-79.9105235,43.3831065,3525005_2,3525005
-79.91125180000002,43.383632899999995,3525005_2,3525005
-79.91255500000001,43.38456480000001,3525005_2,3525005
-79.9141186,43.3856295,3525005_2,3525005
-79.91525829999999,43.3864041,3525005_2,3525005
-79.9159815,43.3869038,3525005_2,3525005
-79.9170001,43.3875773,3525005_2,3525005
-79.91848840000002,43.388601799999996,3525005_2,3525005
-79.9222923,43.391272799999996,3525005_2,3525005
-79.9223762,43.391332,3525005_2,3525005
-79.9228662,43.391670600000005,3525005_2,3525005
-79.92679369999999,43.394408899999995,3525005_2,3525005
-79.9296729,43.3963898,3525005_2,3525005
-79.9321851,43.3981173,3525005_2,3525005
-79.9347849,43.3999222,3525005_2,3525005
-79.93799109999999,43.4021604,3525005_2,3525005
-79.938615,43.4026439,3525005_2,3525005
-79.9444472,43.4069388,3525005_2,3525005
-79.94447869999999,43.4069619,3525005_2,3525005
-79.94711559999999,43.4087165,3525005_2,3525005
-79.9482459,43.40951269999999,3525005_2,3525005
-79.94948819999999,43.410385,3525005_2,3525005
-79.9510085,43.411458499999995,3525005_2,3525005
-79.95230629999999,43.4123725,3525005_2,3525005
-79.95386189999999,43.4134562,3525005_2,3525005
-79.95489119999999,43.414163599999995,3525005_2,3525005
-79.9593053,43.4172519,3525005_2,3525005
-79.9617657,43.418999400000004,3525005_2,3525005
-79.96248969999999,43.419497299999996,3525005_2,3525005
-79.9634312,43.4201833,3525005_2,3525005
-79.9674564,43.4229702,3525005_2,3525005
-79.968406,43.423638,3525005_2,3525005
-79.9690825,43.4241173,3525005_2,3525005
