long,lat,group
-79.64517950000001,43.448761899999994,1
-79.6447414,43.449336599999995,1
-79.6419355,43.453016700000006,1
-79.6401046,43.4554177,1
-79.63351999999999,43.46393,1
-79.62887020000001,43.466873799999995,1
-79.6277114,43.46760739999999,1
-79.6263049,43.4684977,1
-79.6247678,43.4694706,1
-79.61955929999999,43.4727669,1
-79.6161644,43.474915,1
-79.61601189999999,43.4750515,1
-79.6003472,43.4894822,1
-79.60026820000002,43.48955499999999,1
-79.5969976,43.4925666,1
-79.5899067,43.4990943,1
-79.5888516,43.5000655,1
-79.5888337,43.5000819,1
-79.5773093,43.5106858,1
-79.5771152,43.5108644,1
-79.5728007,43.5148473,1
-79.56485959999999,43.522175999999995,1
-79.56128799999999,43.52547120000001,1
-79.5565177,43.5298715,1
-79.5550044,43.53117290000001,1
-79.5543864,43.5317042,1
-79.55295559999999,43.5329344,1
-79.5496884,43.5359096,1
-79.5488744,43.53665079999999,1
-79.5466668,43.5386607,1
-79.5457572,43.5394888,1
-79.5411886,43.5436543,1
-79.54000909999999,43.5450613,1
-79.5352703,43.5493099,1
-79.5309125,43.55321620000001,1
-79.5274426,43.5563259,1
-79.5252635,43.5582786,1
-79.5238174,43.559574399999995,1
-79.5231115,43.5602068,1
-79.5229596,43.56034289999999,1
-79.51928819999999,43.5633139,1
-79.5080911,43.57525769999998,1
-79.5017987,43.582807800000005,1
-79.50000779999999,43.5849562,1
-79.5,43.5849655,1
-79.4998321,43.5851669,1
-79.4988868,43.5863008,1
-79.4984802,43.5867885,1
-79.4975942,43.5878512,1
